epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,599.92,0.93206,1.40172,0.99738,0.1827,0.7247,0.17518,0.12795,0.69522,73.1245,0.81297,0.00066634,0.00066634,0.00066634
2,1174.33,0.95157,1.15321,1.00691,0.18166,0.71541,0.16825,0.1208,0.71218,92.7336,0.81741,0.00128902,0.00128902,0.00128902
3,1748.96,0.95262,1.15747,1.00385,0.18218,0.72694,0.16991,0.12149,0.68289,82.3839,0.81034,0.0018677,0.0018677,0.0018677
4,2325.92,0.95675,1.17594,1.0039,0.18394,0.72827,0.17303,0.12326,0.70446,66.9187,0.8077,0.001802,0.001802,0.001802
5,2895.03,0.94459,1.14098,0.99472,0.18309,0.72318,0.17194,0.12489,0.68981,73.9593,0.80797,0.001736,0.001736,0.001736
6,3463.44,0.93923,1.13241,0.99431,0.18369,0.72476,0.17394,0.12408,0.69673,83.0767,0.80779,0.00167,0.00167,0.00167
7,4031.34,0.93668,1.1481,0.99528,0.18269,0.73424,0.17054,0.12513,0.67929,78.5882,0.80609,0.001604,0.001604,0.001604
8,4598.84,0.92217,1.20535,0.99016,0.18339,0.73798,0.17129,0.12596,0.67542,75.5227,0.80336,0.001538,0.001538,0.001538
9,5175.31,0.92818,1.26887,0.99242,0.18441,0.73522,0.17245,0.12572,0.67166,99.079,0.80465,0.001472,0.001472,0.001472
10,5757.24,0.90906,1.1355,0.98666,0.18428,0.74025,0.17116,0.12679,0.65461,80.0121,0.79614,0.001406,0.001406,0.001406
11,6324.16,0.90723,1.14098,0.9881,0.1841,0.74355,0.17509,0.13044,0.65217,81.7893,0.79923,0.00134,0.00134,0.00134
12,6894.19,0.89814,1.18678,0.98541,0.18414,0.74038,0.17305,0.12906,0.65236,71.4317,0.79917,0.001274,0.001274,0.001274
13,7488.6,0.89558,1.28643,0.98243,0.18229,0.75022,0.17053,0.12628,0.6517,98.9962,0.79758,0.001208,0.001208,0.001208
14,8064.27,0.90041,1.13154,0.98248,0.18351,0.74782,0.17221,0.12708,0.65393,84.9877,0.79826,0.001142,0.001142,0.001142
15,8632.01,0.89186,1.1282,0.97842,0.1854,0.74871,0.17341,0.12987,0.63406,86.4662,0.79092,0.001076,0.001076,0.001076
16,9202.82,0.88278,1.09632,0.97698,0.18418,0.74197,0.17297,0.12871,0.64584,80.3922,0.7953,0.00101,0.00101,0.00101
17,11880.5,0.87448,1.13021,0.97469,0.18499,0.74892,0.17247,0.12961,0.62864,81.8668,0.78898,0.000944,0.000944,0.000944
18,12450.5,0.86954,1.12945,0.97496,0.18599,0.73419,0.17644,0.13083,0.62767,87.5844,0.79011,0.000878,0.000878,0.000878
19,13030.1,0.86746,1.09179,0.97381,0.18369,0.7474,0.17457,0.1314,0.62874,84.8834,0.78847,0.000812,0.000812,0.000812
20,13597,0.863,1.08663,0.96773,0.18614,0.74699,0.17688,0.1309,0.62355,75.5608,0.78786,0.000746,0.000746,0.000746
21,14156.5,0.84509,4.02306,0.95942,0.18024,0.78153,0.17345,0.12754,0.63556,26.8421,0.79032,0.00068,0.00068,0.00068
22,14710.4,0.82919,3.07821,0.94914,0.18243,0.77555,0.17398,0.13019,0.6261,42.5615,0.78852,0.000614,0.000614,0.000614
23,15263.5,0.82006,3.77652,0.94406,0.17906,0.79626,0.17209,0.12738,0.63268,17.1425,0.79226,0.000548,0.000548,0.000548
24,15817.1,0.81381,3.46116,0.94269,0.18029,0.79419,0.17554,0.13031,0.62899,28.9002,0.78976,0.000482,0.000482,0.000482
25,16370.9,0.81535,3.5116,0.94631,0.18248,0.78243,0.17605,0.13229,0.62578,31.9206,0.78719,0.000416,0.000416,0.000416
26,16924.7,0.81257,3.64182,0.94372,0.18359,0.77135,0.1765,0.13339,0.62285,35.2282,0.78681,0.00035,0.00035,0.00035
27,17478.3,0.80099,3.59865,0.9444,0.18447,0.76653,0.17851,0.13129,0.61899,48.6732,0.78894,0.000284,0.000284,0.000284
28,18031.6,0.80066,4.07565,0.94196,0.1847,0.76213,0.17692,0.13202,0.61851,46.8419,0.78648,0.000218,0.000218,0.000218
29,18585,0.7919,4.09562,0.93869,0.18472,0.7635,0.17781,0.13373,0.61213,40.9599,0.7838,0.000152,0.000152,0.000152
30,19138.7,0.78967,3.83698,0.93619,0.18448,0.76949,0.17754,0.1324,0.61114,47.7314,0.78454,8.6e-05,8.6e-05,8.6e-05
