epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.207,1.11227,1.11386,0.94223,0.18056,0.60345,0.15314,0.0973,1.03666,12.3853,0.90891,0.000666014,0.000666014,0.000666014
2,324.261,1.16191,1.14543,0.9546,0.17594,0.6016,0.15038,0.09634,1.04151,19.8632,0.91545,0.0012887,0.0012887,0.0012887
3,479.548,1.16781,1.1504,0.95648,0.17754,0.58508,0.14835,0.09466,1.03868,15.8165,0.90947,0.00186739,0.00186739,0.00186739
4,633.975,1.18658,1.1685,0.95591,0.17721,0.59169,0.15,0.0968,1.02555,13.5619,0.90501,0.001802,0.001802,0.001802
5,788.345,1.1714,1.1515,0.95748,0.17787,0.60476,0.15082,0.09541,1.0411,14.0525,0.90759,0.001736,0.001736,0.001736
6,942.902,1.1765,1.15222,0.95917,0.17813,0.60552,0.1487,0.09559,1.01695,15.953,0.90208,0.00167,0.00167,0.00167
7,1097.08,1.15771,1.13325,0.95652,0.17875,0.61102,0.15447,0.10172,1.01926,17.3972,0.90325,0.001604,0.001604,0.001604
8,1251.18,1.14698,1.13927,0.95149,0.17909,0.6071,0.15111,0.09768,1.01082,15.873,0.90447,0.001538,0.001538,0.001538
9,1406.18,1.14369,1.12516,0.95016,0.17816,0.59176,0.14844,0.09503,1.04226,16.1658,0.91438,0.001472,0.001472,0.001472
10,1560.42,1.13917,1.12341,0.95065,0.17774,0.61966,0.14911,0.09709,0.99506,14.2461,0.89731,0.001406,0.001406,0.001406
11,1714.85,1.13783,1.1308,0.9491,0.17924,0.61295,0.15681,0.10319,0.98995,14.547,0.89738,0.00134,0.00134,0.00134
12,1869.13,1.12626,1.12868,0.94739,0.17885,0.6146,0.153,0.10065,0.98852,16.4157,0.89908,0.001274,0.001274,0.001274
13,2023.85,1.12213,1.10538,0.94528,0.17951,0.62403,0.15171,0.10037,0.96388,18.6808,0.8902,0.001208,0.001208,0.001208
14,2178.17,1.11645,1.11542,0.94537,0.17752,0.62946,0.15094,0.09861,0.98459,16.8962,0.89512,0.001142,0.001142,0.001142
15,2331.93,1.10669,1.10831,0.94153,0.17826,0.62527,0.15146,0.09847,0.98289,16.218,0.89944,0.001076,0.001076,0.001076
16,2485.84,1.10533,1.10148,0.94023,0.17982,0.62375,0.1529,0.10037,0.9688,15.4953,0.89427,0.00101,0.00101,0.00101
17,2639.97,1.10145,1.10721,0.93928,0.17937,0.62425,0.15135,0.09984,0.96229,15.4493,0.89006,0.000944,0.000944,0.000944
18,2794.23,1.09593,1.10013,0.94057,0.17973,0.62437,0.1544,0.10179,0.95166,17.1846,0.88969,0.000878,0.000878,0.000878
19,2948.15,1.08813,1.07967,0.93765,0.17861,0.6263,0.15357,0.10275,0.95516,18.2554,0.89155,0.000812,0.000812,0.000812
20,3102.56,1.08043,1.08476,0.9366,0.17964,0.63249,0.15444,0.10261,0.94164,16.5573,0.88785,0.000746,0.000746,0.000746
21,3260.16,1.04388,1.14709,0.93943,0.17865,0.63578,0.15341,0.10263,0.93925,15.7948,0.88884,0.00068,0.00068,0.00068
22,3411.11,1.04855,1.14628,0.93837,0.17915,0.63421,0.15352,0.10191,0.95205,15.8045,0.89107,0.000614,0.000614,0.000614
23,3561.55,1.04046,1.12907,0.93715,0.17979,0.62816,0.15649,0.10451,0.94354,15.738,0.8903,0.000548,0.000548,0.000548
24,3712.54,1.03018,1.15597,0.93438,0.18037,0.6242,0.15445,0.10293,0.93625,15.1245,0.88508,0.000482,0.000482,0.000482
25,3863.17,1.02245,1.80624,0.93028,0.1804,0.62437,0.15544,0.10408,0.93727,17.6182,0.88817,0.000416,0.000416,0.000416
26,4013.46,1.01424,1.31278,0.92897,0.18103,0.63771,0.15684,0.10413,0.93238,16.8309,0.88662,0.00035,0.00035,0.00035
27,4163.61,1.00989,1.11026,0.93021,0.18071,0.63524,0.15683,0.10569,0.92424,16.4941,0.88444,0.000284,0.000284,0.000284
28,4314.32,1.00519,1.12095,0.92599,0.18132,0.62988,0.15713,0.10564,0.92079,14.8439,0.88436,0.000218,0.000218,0.000218
29,4465.09,0.99885,1.33716,0.92523,0.18069,0.63882,0.15627,0.10509,0.9192,14.4842,0.88314,0.000152,0.000152,0.000152
30,4615.85,0.98637,1.68663,0.92021,0.18091,0.6371,0.15645,0.10598,0.91483,15.8702,0.88229,8.6e-05,8.6e-05,8.6e-05
