epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.688,1.51028,1.48109,1.04945,0.16508,0.51283,0.13224,0.07425,1.37676,2.88903,1.00443,0.000665362,0.000665362,0.000665362
2,395.378,1.40927,1.2942,1.01626,0.17404,0.501,0.13437,0.07876,1.25205,3.12027,0.97572,0.00128807,0.00128807,0.00128807
3,590.809,1.37569,1.26767,1.0066,0.17479,0.5151,0.13784,0.0803,1.27019,2.82516,0.98179,0.00186678,0.00186678,0.00186678
4,772.561,1.33845,1.23374,0.99756,0.17727,0.56368,0.14201,0.08274,1.24807,2.60752,0.96719,0.001802,0.001802,0.001802
5,953.968,1.31077,1.20865,0.9897,0.17599,0.5641,0.14707,0.08903,1.1857,2.53704,0.96247,0.001736,0.001736,0.001736
6,1139.07,1.28253,1.19568,0.98377,0.17399,0.57857,0.14467,0.08973,1.16056,2.63847,0.95806,0.00167,0.00167,0.00167
7,1317,1.26495,1.18212,0.98424,0.17796,0.58316,0.14559,0.09158,1.10449,2.64163,0.94446,0.001604,0.001604,0.001604
8,1467.79,1.25766,1.17516,0.97879,0.17526,0.56946,0.14564,0.09066,1.15216,2.57482,0.95725,0.001538,0.001538,0.001538
9,1620.33,1.23229,1.16558,0.97299,0.17827,0.58962,0.14727,0.09199,1.11285,2.36815,0.94623,0.001472,0.001472,0.001472
10,1892.82,1.21408,1.15015,0.96921,0.17804,0.58976,0.14695,0.09156,1.0874,2.42396,0.93819,0.001406,0.001406,0.001406
11,2075.88,1.2069,1.14995,0.97058,0.17853,0.59024,0.14643,0.09238,1.07194,2.52767,0.93946,0.00134,0.00134,0.00134
12,2254.58,1.19826,1.14966,0.96566,0.17903,0.58618,0.14971,0.09473,1.06144,2.55231,0.93672,0.001274,0.001274,0.001274
13,2426.08,1.17859,1.12711,0.96231,0.17557,0.59368,0.15096,0.096,1.08122,2.97981,0.94559,0.001208,0.001208,0.001208
14,2703.72,1.17375,1.13067,0.95948,0.17545,0.58474,0.14513,0.0923,1.07679,2.62548,0.94302,0.001142,0.001142,0.001142
15,2855.07,1.17194,1.12475,0.95941,0.1758,0.58852,0.1526,0.09716,1.07007,2.54116,0.93931,0.001076,0.001076,0.001076
16,3009.66,1.16286,1.11629,0.95755,0.17787,0.60063,0.15195,0.09774,1.02936,2.59209,0.92882,0.00101,0.00101,0.00101
17,3160.47,1.15501,1.10613,0.95614,0.17867,0.59829,0.15021,0.09694,1.02968,2.55122,0.9328,0.000944,0.000944,0.000944
18,3311.46,1.13867,1.09829,0.95231,0.1794,0.61027,0.1511,0.09863,1.00326,2.44796,0.92137,0.000878,0.000878,0.000878
19,3462.29,1.13606,1.09842,0.95272,0.1797,0.60813,0.15045,0.09826,0.99668,2.67909,0.92108,0.000812,0.000812,0.000812
20,3615.24,1.1249,1.09895,0.94647,0.17919,0.61215,0.15366,0.10066,1.01619,2.4052,0.92477,0.000746,0.000746,0.000746
21,3765.58,1.08341,1.11155,0.95475,0.17813,0.60056,0.14773,0.09527,1.01511,2.47581,0.92851,0.00068,0.00068,0.00068
22,3911.09,1.07959,1.10746,0.95038,0.17779,0.60978,0.14977,0.09775,1.00258,2.58647,0.92494,0.000614,0.000614,0.000614
23,4085.49,1.06575,1.08774,0.94887,0.17862,0.61892,0.15488,0.1027,0.98517,2.61332,0.91855,0.000548,0.000548,0.000548
24,4258.85,1.06105,1.09444,0.94573,0.17988,0.62176,0.1528,0.10076,0.98163,2.5302,0.91538,0.000482,0.000482,0.000482
25,4403.93,1.04956,1.08765,0.94518,0.18047,0.60579,0.15358,0.10191,0.97298,2.52562,0.91589,0.000416,0.000416,0.000416
26,4549.04,1.04414,1.07844,0.94015,0.18058,0.61398,0.15656,0.10345,0.96943,2.58355,0.91518,0.00035,0.00035,0.00035
27,4694.39,1.03445,1.07012,0.93865,0.17858,0.62697,0.1535,0.1017,0.96861,2.57619,0.91413,0.000284,0.000284,0.000284
28,4839.59,1.03139,1.06309,0.9399,0.17962,0.62155,0.15313,0.10182,0.96071,2.41929,0.9122,0.000218,0.000218,0.000218
29,4984.48,1.01776,1.05587,0.93498,0.17939,0.62864,0.15369,0.10207,0.95587,2.39533,0.91147,0.000152,0.000152,0.000152
30,5129.59,1.01463,1.05423,0.93279,0.17847,0.6318,0.15752,0.10582,0.95307,2.39835,0.91055,8.6e-05,8.6e-05,8.6e-05
